PolyInx,Kbar3,h11,h12,h13,h22,EdgeList,TriangulationEstimation,PolytopeVerices,CiGenus,CiDegreeKbar
3904,18,16,1,70,386,"[[2, 1], [4, 0], [5, 3], [5, 4], [6, 0], [7, 3], [7, 6], [8, 1], [8, 2], [8, 6], [8, 7], [9, 1], [9, 2], [9, 4], [9, 5], [3, 0], [1, 3], [1, 3], [1, 3]]",1728,"[[-1, -1, -1], [1, 1, 0], [1, 1, -1], [-1, -1, 2], [-1, 0, -1], [-1, 0, 0], [0, -1, -1], [0, -1, 0], [1, 0, -1], [0, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 4, 1, 4, 1, 1, 1, 1, 2, 2]"
3912,18,18,1,68,386,"[[2, 1], [4, 0], [5, 1], [5, 4], [6, 1], [6, 2], [6, 3], [7, 2], [7, 3], [8, 0], [8, 1], [9, 1], [9, 3], [9, 8], [3, 0], [7, 4], [2, 5], [2, 5]]",32000/3,"[[-1, -1, -1], [1, 0, -1], [0, 1, 1], [-1, -1, 2], [-1, 0, -1], [0, 1, -1], [0, 0, 1], [-1, 0, 2], [0, -1, -1], [0, -1, 0]]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 3, 2, 1, 2, 1, 1, 1, 1]"
3930,18,16,0,69,384,"[[1, 0], [2, 0], [4, 1], [5, 0], [6, 1], [6, 5], [7, 3], [7, 3], [7, 5], [7, 6], [8, 3], [8, 4], [9, 2], [9, 3], [2, 4], [8, 9], [2, 7], [6, 8], [6, 8]]",1944,"[[-1, -1, 0], [-1, -1, 1], [-1, 0, -1], [1, 1, -1], [-1, 0, 1], [0, -1, 0], [0, -1, 1], [1, 0, -1], [0, 1, 1], [0, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 2, 2, 1, 1, 3, 3, 3, 1]"
3931,18,20,3,68,390,"[[2, 1], [3, 1], [3, 2], [4, 1], [4, 2], [5, 1], [6, 4], [6, 5], [7, 1], [8, 2], [8, 3], [0, 7], [5, 7], [0, 6], [3, 7], [3, 7], [0, 8]]",123596,"[[-3, -1, 2], [1, 0, 0], [0, 1, 0], [0, 1, -1], [0, 0, 1], [0, -1, 1], [-1, -1, 2], [0, -1, -1], [-1, 1, 0]]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 2, 3, 1, 1, 1, 3, 1]"
3976,18,21,4,68,392,"[[3, 1], [3, 1], [4, 1], [4, 3], [5, 2], [5, 3], [5, 3], [6, 2], [6, 4], [6, 5], [8, 0], [8, 3], [8, 5], [9, 4], [9, 6], [0, 2], [0, 7], [9, 7], [1, 7]]",1033560,"[[-1, -1, -1], [1, 1, -1], [-1, -1, 1], [1, 0, -1], [0, 1, 1], [0, -1, 0], [-1, 0, 2], [-1, 1, -1], [0, -1, -1], [-1, 1, 2]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 4, 2, 3, 2, 1, 1, 1]"
4001,18,19,1,67,386,"[[2, 1], [4, 1], [5, 1], [5, 2], [5, 3], [6, 0], [6, 1], [6, 4], [7, 1], [7, 3], [8, 0], [8, 1], [8, 7], [9, 2], [9, 4], [3, 0], [9, 0], [9, 3]]",80896/3,"[[-1, -1, -1], [1, 0, 0], [0, 1, 0], [-1, -1, 2], [0, 1, -1], [0, 0, 1], [0, 0, -1], [0, -1, 1], [0, -1, 0], [-1, 2, -1]]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 1, 2, 1, 1, 1, 1, 1, 2]"
4003,18,21,3,67,390,"[[3, 0], [4, 1], [5, 1], [5, 3], [5, 4], [6, 2], [7, 1], [7, 2], [8, 0], [8, 1], [8, 5], [8, 7], [10, 4], [10, 9], [3, 10], [0, 2], [6, 9], [1, 9], [1, 6]]",699840,"[[-1, -1, 0], [1, 0, 0], [-1, -1, 2], [-1, 0, -1], [0, 1, -1], [0, 0, -1], [-1, 0, 2], [0, -1, 1], [0, -1, 0], [-1, 2, 0], [-1, 2, -1]]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 6, 1, 1, 1, 2, 1, 1, 2, 1, 1]"
4007,18,19,2,68,388,"[[3, 0], [4, 1], [5, 1], [5, 4], [6, 3], [7, 6], [8, 1], [8, 1], [8, 6], [8, 7], [9, 1], [9, 7], [10, 2], [10, 4], [10, 9], [11, 3], [11, 5], [11, 8], [0, 2], [2, 7], [0, 5]]",104544,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [-1, 0, -1], [1, -1, 0], [1, -1, -1], [-1, 1, 0], [-1, 1, 1], [0, 1, 0], [0, 0, 1], [0, -1, 1], [0, 0, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1]"
4015,18,19,1,67,386,"[[3, 1], [4, 1], [5, 0], [5, 1], [5, 4], [6, 4], [7, 1], [7, 2], [8, 3], [9, 0], [9, 1], [9, 7], [0, 2], [0, 6], [2, 8], [6, 8], [3, 7], [3, 4]]",27648,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [0, 1, 1], [0, 1, -1], [0, 0, -1], [-1, 1, -1], [0, -1, 1], [-1, 1, 1], [0, -1, 0]]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 5, 1, 2, 2, 1, 1, 2, 1, 1]"
4035,18,19,2,68,388,"[[3, 0], [4, 1], [5, 1], [5, 4], [6, 3], [7, 6], [8, 0], [8, 5], [9, 1], [9, 1], [9, 6], [9, 7], [10, 1], [10, 3], [10, 8], [10, 9], [0, 2], [2, 7], [2, 4], [4, 7]]",69696,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [-1, 0, -1], [1, -1, 1], [1, -1, 0], [-1, 1, 0], [-1, 1, 1], [0, -1, -1], [0, 1, 0], [0, 0, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 1, 1, 2, 1, 1, 2, 1, 3, 2]"
4039,18,18,1,68,386,"[[1, 0], [2, 0], [4, 3], [5, 2], [6, 3], [6, 4], [8, 3], [8, 3], [8, 5], [8, 7], [9, 2], [9, 3], [9, 5], [9, 6], [5, 7], [1, 7], [0, 6], [4, 7], [1, 4]]",9504,"[[-1, -1, 0], [-1, -1, 1], [-1, 0, -1], [1, 0, 0], [1, -1, 1], [-1, 1, -1], [1, -1, 0], [-1, 1, 1], [0, 1, 0], [0, 0, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 3, 2, 2, 2, 2, 2, 2]"
4047,18,17,0,68,384,"[[3, 1], [3, 1], [4, 1], [5, 4], [6, 0], [6, 3], [7, 3], [7, 4], [7, 5], [8, 1], [8, 2], [9, 0], [9, 3], [9, 7], [0, 2], [0, 5], [2, 5], [6, 8], [4, 8]]",3456,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [1, 0, -1], [0, 1, 1], [-1, 1, 1], [0, -1, -1], [0, 1, 0], [0, -1, 1], [0, 0, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 1, 3, 2, 2, 1, 2, 2, 1]"
4051,18,19,2,68,388,"[[3, 0], [4, 1], [4, 1], [5, 1], [6, 3], [7, 5], [7, 6], [8, 0], [8, 4], [9, 1], [9, 5], [9, 6], [10, 2], [10, 4], [11, 1], [11, 3], [11, 8], [11, 9], [0, 2], [2, 7], [5, 10]]",82368,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [-1, 0, -1], [1, -1, 0], [0, 1, 1], [-1, 1, 0], [-1, 1, 1], [0, -1, -1], [0, 1, 0], [0, -1, 1], [0, 0, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2]"
4053,18,18,1,68,386,"[[3, 1], [3, 1], [4, 1], [4, 3], [5, 2], [6, 4], [7, 4], [7, 5], [7, 6], [8, 0], [8, 3], [9, 3], [9, 6], [9, 8], [10, 1], [10, 2], [0, 2], [8, 10], [0, 6], [1, 5]]",21384,"[[-1, -1, -1], [1, 0, 1], [-1, -1, 1], [1, 0, 0], [0, 1, 0], [-1, 0, 1], [-1, 1, -1], [-1, 1, 0], [0, -1, -1], [0, 0, -1], [0, -1, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 1, 3, 2, 1, 2, 1, 2, 1, 1]"
4055,18,18,1,68,386,"[[3, 0], [4, 1], [4, 1], [5, 1], [6, 3], [7, 5], [7, 6], [8, 0], [8, 4], [9, 2], [9, 4], [9, 8], [10, 1], [10, 3], [10, 8], [11, 2], [11, 4], [11, 5], [0, 2], [2, 7], [1, 6]]",28512,"[[-1, -1, -1], [1, 1, 0], [-1, -1, 1], [-1, 0, -1], [1, 0, 0], [0, 1, 1], [-1, 1, 0], [-1, 1, 1], [0, -1, -1], [0, -1, 0], [0, 0, -1], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 2, 1, 3, 1, 1, 1, 2, 1, 1, 1]"
4061,18,18,1,68,386,"[[1, 0], [2, 0], [4, 3], [4, 3], [5, 2], [6, 4], [7, 6], [8, 0], [8, 4], [9, 1], [9, 4], [9, 6], [9, 8], [10, 2], [10, 3], [10, 8], [5, 7], [1, 7], [3, 5], [3, 7]]",19008,"[[-1, -1, 0], [-1, -1, 1], [-1, 0, -1], [1, 1, -1], [1, 0, 0], [-1, 1, -1], [0, 0, 1], [-1, 1, 1], [0, -1, 0], [0, -1, 1], [0, 0, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 3, 3, 1, 1, 2, 2, 2, 1]"
4069,18,16,0,69,384,"[[1, 0], [2, 0], [4, 2], [5, 0], [6, 1], [6, 3], [6, 5], [7, 5], [8, 3], [8, 4], [9, 1], [9, 3], [9, 8], [10, 4], [10, 7], [10, 8], [1, 4], [2, 7], [3, 7], [3, 7]]",1944,"[[-1, -1, -1], [-1, -1, 0], [-1, 0, -1], [1, 0, 1], [-1, 1, 0], [0, -1, -1], [0, -1, 0], [1, 0, -1], [0, 1, 1], [0, 0, 1], [0, 1, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 3, 2, 1, 1, 3, 2, 1, 1]"
4071,18,17,1,69,386,"[[3, 0], [4, 2], [4, 3], [5, 0], [6, 5], [7, 2], [7, 6], [8, 1], [8, 4], [9, 1], [9, 3], [9, 8], [10, 1], [10, 2], [10, 7], [10, 8], [0, 2], [5, 9], [1, 6], [1, 6]]",5616,"[[-1, -1, -1], [1, 1, 0], [-1, -1, 1], [-1, 0, -1], [-1, 0, 0], [0, -1, -1], [1, -1, 0], [0, -1, 1], [0, 1, 0], [0, 1, -1], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 2, 1, 1, 1, 2, 1, 2, 2, 2]"
4101,18,17,0,68,384,"[[2, 0], [4, 2], [4, 3], [5, 1], [6, 1], [7, 5], [8, 1], [8, 3], [8, 4], [8, 5], [9, 1], [9, 2], [9, 4], [9, 6], [0, 3], [3, 7], [0, 7], [0, 6], [6, 7]]",1728,"[[-1, -1, 0], [1, 0, 0], [-1, 0, 1], [-1, 1, 0], [-1, 1, 1], [1, 0, -1], [1, -1, 0], [1, -1, -2], [0, 1, 0], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 1, 2, 2, 1, 2, 2, 2, 2]"
4109,18,20,2,67,388,"[[3, 1], [4, 1], [4, 3], [5, 1], [6, 2], [7, 4], [7, 5], [8, 1], [8, 2], [9, 0], [9, 1], [9, 5], [9, 8], [10, 3], [10, 6], [0, 2], [0, 7], [10, 7], [1, 6]]",187920,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [0, 1, 1], [0, 1, 0], [0, 0, -1], [-1, 0, 2], [-1, 1, -1], [0, -1, 0], [0, -1, -1], [-1, 1, 2]]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 6, 1, 1, 1, 1, 1, 2, 1, 2, 1]"
4111,18,21,3,67,390,"[[3, 0], [4, 1], [5, 1], [6, 1], [6, 3], [6, 5], [7, 3], [7, 5], [8, 1], [8, 2], [9, 0], [9, 1], [9, 6], [9, 8], [10, 4], [10, 7], [2, 10], [0, 2], [4, 5]]",452400,"[[-1, -1, 0], [1, 0, 0], [-1, -1, 2], [-1, 0, -1], [0, 1, 1], [0, 1, -1], [0, 0, -1], [-1, 1, -1], [0, -1, 1], [0, -1, 0], [-1, 1, 2]]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 1, 1, 1, 2, 2, 1, 1, 2, 1]"
4123,18,17,0,68,384,"[[3, 0], [4, 1], [4, 1], [5, 1], [6, 2], [6, 5], [7, 0], [7, 4], [8, 2], [8, 4], [8, 7], [9, 1], [9, 3], [9, 7], [10, 1], [10, 3], [10, 5], [0, 2], [6, 3], [4, 6]]",5760,"[[-1, -1, -1], [1, 1, 0], [-1, -1, 1], [-1, 0, -1], [1, 0, 0], [0, 1, 1], [-1, 0, 2], [0, -1, -1], [0, -1, 0], [0, 0, -1], [0, 1, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 1, 2, 3, 1, 2, 2, 1, 1, 1]"
4127,18,17,0,68,384,"[[3, 0], [4, 1], [4, 1], [5, 2], [6, 0], [6, 4], [7, 2], [7, 4], [7, 6], [8, 0], [8, 4], [9, 1], [9, 5], [10, 1], [10, 3], [10, 8], [0, 2], [3, 5], [9, 10], [7, 9]]",5184,"[[-1, -1, -1], [1, 1, 0], [-1, -1, 1], [-1, 0, -1], [1, 0, 0], [-1, 0, 1], [0, -1, 0], [0, -1, 1], [0, 0, -1], [0, 1, 1], [0, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 1, 1, 3, 1, 1, 2, 1, 2, 2]"
4139,18,19,2,68,388,"[[3, 0], [4, 1], [5, 1], [5, 4], [6, 3], [7, 6], [8, 1], [8, 1], [8, 6], [8, 7], [9, 1], [9, 3], [9, 5], [9, 6], [10, 2], [10, 4], [0, 2], [2, 7], [0, 5], [8, 10]]",78408,"[[-1, -1, -1], [1, 0, 0], [-1, -1, 1], [-1, 0, -1], [1, -1, 0], [1, -1, -1], [-1, 1, 0], [-1, 1, 1], [0, 1, 1], [0, 0, -1], [0, -1, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 1, 1, 1, 2, 2, 1, 3, 2, 1]"
4165,18,20,3,68,390,"[[3, 1], [4, 1], [4, 3], [5, 2], [7, 5], [7, 6], [8, 1], [8, 7], [9, 1], [9, 6], [9, 8], [10, 2], [10, 3], [11, 3], [11, 5], [11, 8], [11, 8], [11, 10], [0, 2], [0, 6], [0, 4]]",383328,"[[-1, -1, -1], [1, 0, -1], [-1, -1, 1], [1, -1, 0], [1, -1, -1], [-1, 0, 1], [-1, 1, -1], [-1, 1, 0], [0, 1, 0], [0, 1, -1], [0, -1, 1], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 1, 1, 1, 3, 1, 1, 3]"
4174,18,19,1,67,386,"[[2, 1], [3, 1], [3, 2], [4, 1], [4, 2], [5, 4], [6, 3], [7, 1], [7, 6], [8, 2], [8, 5], [9, 0], [9, 1], [0, 5], [6, 8], [4, 9], [6, 0], [7, 9]]",25440,"[[-1, -2, 1], [1, 0, 0], [0, 1, 0], [0, 1, -1], [0, 0, 1], [-1, 0, 1], [-1, 1, -2], [0, 0, -1], [-1, 1, 0], [0, -2, 1]]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 2, 1, 2, 1, 2, 1, 1, 2]"
4185,18,18,1,68,386,"[[3, 1], [3, 1], [4, 1], [5, 2], [6, 4], [7, 5], [7, 6], [8, 0], [8, 3], [9, 2], [9, 3], [9, 8], [10, 0], [10, 1], [10, 4], [10, 8], [0, 2], [0, 6], [3, 5], [1, 7]]",21384,"[[-1, -1, -1], [1, 1, 0], [-1, -1, 1], [1, 0, 1], [0, 1, -1], [-1, 0, 1], [-1, 1, -1], [-1, 1, 0], [0, -1, 0], [0, -1, 1], [0, 0, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 1, 3, 1, 1, 1, 1, 2, 1, 2]"
4206,18,16,0,69,384,"[[2, 0], [3, 1], [4, 3], [5, 2], [6, 0], [6, 3], [6, 4], [7, 4], [7, 5], [8, 1], [8, 2], [8, 5], [9, 1], [9, 3], [9, 8], [0, 7], [1, 7], [0, 9], [0, 9]]",864,"[[-2, 1, 0], [1, 0, 0], [-1, 0, 1], [1, 0, -1], [1, -1, -1], [0, -1, 1], [0, 0, -1], [1, -2, 0], [0, 0, 1], [0, 1, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 2, 1, 2, 1, 1, 1, 2, 2, 3]"
4232,18,18,1,68,386,"[[2, 1], [2, 1], [4, 0], [5, 1], [6, 1], [6, 4], [6, 5], [7, 3], [7, 5], [8, 0], [8, 2], [9, 2], [9, 3], [9, 8], [10, 1], [10, 2], [10, 3], [10, 7], [3, 0], [7, 4]]",15360,"[[-1, -1, -1], [1, 1, -1], [1, 0, -1], [-1, -1, 2], [-1, 0, -1], [0, 1, 0], [0, 1, -1], [-1, 0, 2], [0, -1, -1], [0, -1, 0], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 3, 2, 1, 1, 1, 2, 1, 1, 2]"
4236,18,18,1,68,386,"[[3, 0], [4, 1], [4, 1], [5, 1], [6, 2], [6, 5], [7, 0], [7, 4], [8, 2], [8, 4], [8, 7], [9, 1], [9, 3], [10, 4], [10, 5], [10, 6], [10, 8], [0, 2], [6, 3], [5, 9]]",14400,"[[-1, -1, -1], [1, 1, -1], [-1, -1, 1], [-1, 0, -1], [1, 0, -1], [0, 1, 1], [-1, 0, 2], [0, -1, -1], [0, -1, 0], [0, 1, -1], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 1, 3, 2, 2, 1, 2, 1, 2]"
4252,18,17,0,68,384,"[[1, 0], [2, 0], [3, 1], [3, 2], [4, 0], [5, 0], [6, 1], [6, 4], [8, 2], [8, 5], [8, 7], [9, 3], [9, 6], [10, 7], [10, 9], [11, 4], [11, 5], [12, 6], [12, 10], [12, 11], [3, 7], [7, 11]]",6912,"[[-1, -1, 0], [-1, 0, -1], [-1, 0, 0], [-1, 1, -1], [0, -1, 0], [0, -1, 1], [0, 0, -1], [1, 1, 1], [0, 0, 1], [0, 1, -1], [1, 1, 0], [1, -1, 1], [1, 0, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1]"
4254,18,17,0,68,384,"[[1, 0], [2, 0], [4, 2], [5, 0], [6, 1], [6, 5], [7, 2], [7, 5], [8, 3], [9, 3], [9, 6], [10, 4], [10, 7], [10, 8], [11, 5], [11, 7], [11, 8], [11, 9], [1, 4], [3, 4], [1, 3]]",4608,"[[-1, -1, 0], [-1, -1, 1], [-1, 0, -1], [1, 1, 1], [-1, 1, -1], [0, -1, 0], [0, -1, 1], [0, 0, -1], [1, 1, 0], [1, 0, 1], [0, 1, -1], [1, 0, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 2]"
4271,18,18,1,68,386,"[[1, 0], [2, 0], [4, 1], [5, 2], [6, 4], [6, 5], [7, 3], [8, 3], [9, 7], [9, 8], [10, 3], [10, 5], [10, 6], [10, 7], [11, 3], [11, 4], [11, 6], [11, 8], [0, 9], [1, 8], [2, 7]]",15552,"[[-1, -1, -1], [-1, -1, 0], [-1, 0, -1], [1, 0, 0], [-1, 0, 1], [-1, 1, 0], [-1, 1, 1], [1, 0, -1], [1, -1, 0], [1, -1, -1], [0, 1, 0], [0, 0, 1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2]"
4275,18,18,1,68,386,"[[1, 0], [2, 0], [4, 1], [5, 2], [6, 4], [6, 5], [7, 0], [8, 1], [8, 7], [9, 2], [9, 7], [10, 3], [10, 9], [11, 3], [11, 4], [11, 8], [12, 3], [12, 7], [12, 8], [12, 10], [5, 10], [3, 6]]",20736,"[[-1, -1, -1], [-1, -1, 0], [-1, 0, -1], [1, 1, 1], [-1, 0, 1], [-1, 1, 0], [-1, 1, 1], [0, -1, -1], [0, -1, 0], [0, 0, -1], [1, 1, 0], [0, 0, 1], [1, 0, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2]"
4281,18,17,0,68,384,"[[3, 0], [4, 2], [4, 3], [5, 0], [6, 1], [7, 2], [7, 6], [8, 0], [9, 1], [9, 5], [9, 6], [9, 8], [10, 1], [10, 4], [11, 1], [11, 3], [11, 8], [11, 10], [0, 2], [5, 7], [7, 10]]",5184,"[[-1, -1, -1], [1, 1, 0], [-1, -1, 1], [-1, 0, 0], [-1, 0, 1], [0, -1, -1], [1, 0, 0], [0, -1, 1], [0, 0, -1], [1, 0, -1], [0, 1, 1], [0, 1, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2]"
48,30,19,6,102,516,"[[2, 0], [3, 1], [3, 2], [3, 2], [3, 2], [3, 2], [3, 2], [1, 0], [3, 0], [3, 0], [1, 2], [1, 2], [1, 2]]",14818,"[[-9, -5, -3], [1, 0, 2], [1, 0, 0], [0, 1, 0]]","[0, 0, 4, 2]","[2, 3, 15, 10]"
59,30,13,1,103,506,"[[1, 0], [1, 0], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [3, 2], [4, 1], [4, 2], [3, 4], [0, 3], [0, 3], [0, 4], [0, 4]]",24,"[[-2, -2, -1], [1, 0, 0], [0, 1, 0], [0, 0, 1], [-2, 2, -1]]","[0, 4, 0, 1, 0]","[4, 14, 2, 7, 3]"
62,30,16,4,103,512,"[[3, 1], [3, 1], [3, 1], [3, 1], [3, 2], [4, 3], [0, 2], [0, 4], [0, 1], [1, 2], [1, 2], [1, 2], [1, 4], [1, 4], [1, 4]]",2624/3,"[[-1, -1, -1], [1, -1, -1], [-1, -1, 1], [-1, 2, 2], [-1, 1, -1]]","[0, 3, 0, 2, 0]","[1, 15, 3, 8, 3]"
75,30,16,2,101,508,"[[1, 0], [2, 1], [2, 1], [2, 1], [3, 2], [4, 1], [4, 1], [4, 1], [4, 2], [4, 2], [4, 3], [0, 3], [0, 4], [0, 4], [1, 3]]",790/3,"[[-3, -3, -2], [1, 0, 0], [0, 1, 0], [-3, 0, -2], [0, 0, 1]]","[0, 3, 1, 0, 1]","[2, 12, 6, 2, 8]"
77,30,16,4,103,512,"[[1, 0], [2, 1], [2, 1], [2, 1], [3, 2], [4, 1], [4, 1], [4, 2], [4, 2], [3, 0], [4, 0], [4, 0], [1, 3], [1, 3], [1, 3]]",620,"[[-3, -3, 1], [1, 0, 0], [0, 1, 0], [-3, 0, -2], [0, 0, 1]]","[0, 4, 1, 0, 0]","[2, 15, 6, 3, 4]"
83,30,13,3,105,510,"[[2, 1], [3, 0], [3, 1], [3, 1], [3, 1], [3, 2], [3, 2], [4, 2], [0, 4], [1, 4], [1, 4], [1, 4], [0, 1], [0, 1], [0, 1], [0, 1]]",52,"[[-3, -2, 0], [1, 0, 0], [0, 1, 0], [0, 0, 1], [-1, 2, -2]]","[0, 3, 0, 1, 0]","[4, 15, 2, 6, 3]"
121,30,10,0,105,504,"[[2, 0], [2, 1], [2, 1], [2, 1], [3, 2], [3, 2], [4, 0], [4, 1], [4, 1], [4, 1], [4, 3], [4, 3], [3, 0], [3, 0], [0, 1], [0, 1], [0, 1]]",2,"[[-1, -2, -2], [1, 0, 0], [0, 1, 0], [-1, 1, 1], [0, 0, 1]]","[0, 1, 1, 0, 1]","[5, 9, 6, 4, 6]"
137,30,13,2,104,508,"[[2, 1], [2, 1], [2, 1], [3, 2], [4, 0], [4, 1], [4, 1], [4, 1], [4, 2], [4, 2], [0, 3], [2, 0], [2, 0], [1, 3], [1, 3], [1, 3]]",40,"[[-3, -2, 0], [1, 0, 0], [0, 1, 0], [-1, -2, -2], [0, 0, 1]]","[0, 1, 2, 0, 1]","[2, 9, 10, 3, 6]"
139,30,13,1,103,506,"[[2, 0], [2, 1], [2, 1], [2, 1], [4, 1], [4, 1], [4, 2], [4, 2], [4, 3], [4, 0], [0, 3], [0, 1], [0, 1], [1, 3], [1, 3], [1, 3]]",20,"[[-3, 0, -2], [1, 0, 0], [0, 1, 0], [-1, -2, 0], [0, 0, 1]]","[0, 2, 1, 0, 1]","[3, 12, 6, 3, 6]"
220,30,25,9,99,522,"[[2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [3, 2], [3, 2], [4, 3], [4, 0], [2, 0], [0, 1], [1, 4], [1, 4]]",15477800,"[[-1, -1, -1], [1, -1, -1], [-1, 2, -1], [-1, 1, 2], [-1, -1, 5]]","[0, 4, 1, 1, 0]","[1, 15, 6, 6, 2]"
232,30,25,8,98,520,"[[2, 0], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [3, 1], [3, 2], [3, 2], [4, 0], [3, 0], [3, 4], [1, 4]]",18011700,"[[-1, -1, -1], [1, -1, 1], [0, -1, -1], [-1, 2, -1], [-1, -1, 5]]","[0, 3, 1, 2, 0]","[1, 12, 6, 10, 1]"
283,30,9,0,106,504,"[[1, 0], [2, 0], [2, 1], [2, 1], [3, 1], [3, 2], [4, 0], [4, 0], [4, 3], [4, 3], [0, 3], [0, 3], [0, 3], [1, 4], [1, 4], [1, 4], [1, 4]]",1,"[[-2, -2, -1], [2, 1, 0], [1, 0, 0], [0, 0, 1], [0, 1, 0]]","[1, 0, 0, 1, 1]","[7, 6, 2, 7, 8]"
299,30,10,0,105,504,"[[2, 0], [2, 1], [2, 1], [2, 1], [3, 0], [3, 1], [3, 1], [3, 1], [4, 1], [4, 2], [4, 2], [4, 3], [4, 3], [4, 0], [4, 0], [4, 0], [0, 1]]",1,"[[-3, 0, -2], [1, 0, 0], [1, -1, 0], [0, 1, 0], [0, 0, 1]]","[0, 0, 1, 1, 1]","[4, 6, 6, 6, 8]"
326,30,13,2,104,508,"[[1, 0], [2, 0], [3, 1], [3, 2], [3, 2], [3, 2], [4, 2], [4, 2], [4, 0], [4, 0], [3, 4], [3, 4], [1, 2], [1, 2], [1, 2]]",31,"[[-1, -1, 0], [-1, -1, 1], [1, -1, -1], [-1, 2, 2], [-1, 2, 0]]","[0, 0, 4, 1, 0]","[2, 3, 15, 6, 4]"
367,30,13,4,106,512,"[[1, 0], [2, 0], [2, 0], [3, 1], [3, 2], [4, 2], [4, 3], [4, 3], [0, 4], [1, 2], [1, 2], [1, 2], [1, 2], [1, 2], [1, 2], [1, 2]]",6,"[[-5, -3, -1], [1, 2, 0], [1, 0, 0], [0, 0, 1], [-1, -1, 1]]","[1, 0, 3, 0, 0]","[4, 7, 15, 2, 2]"
