PolyInx,Kbar3,h11,h12,h13,h22,EdgeList,TriangulationEstimation,PolytopeVerices,CiGenus,CiDegreeKbar
503,10,27,7,45,318,"[[1, 0], [4, 1], [4, 2], [5, 0], [5, 3], [5, 4], [7, 0], [6, 1], [6, 7], [3, 7], [2, 6], [2, 3], [2, 3]]",4483307232,"[[-1, -1, -1], [-1, -1, 0], [1, 0, 1], [1, 0, -1], [0, -1, 0], [0, -1, -1], [-1, 2, 3], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 2, 2, 1, 1, 1, 1]"
513,10,25,5,45,314,"[[4, 1], [5, 0], [5, 2], [7, 4], [3, 0], [0, 7], [3, 6], [6, 7], [2, 3], [4, 5], [1, 6], [1, 2], [1, 2]]",424009728,"[[-1, -1, -1], [1, 1, 0], [1, -1, 0], [-1, -1, 2], [0, 1, -1], [0, -1, -1], [-1, 1, 2], [-1, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 1, 1, 1, 1]"
519,10,22,3,46,310,"[[4, 0], [5, 1], [5, 4], [6, 0], [6, 2], [7, 3], [3, 0], [7, 4], [5, 6], [2, 3], [1, 7], [1, 2], [1, 2]]",6868800,"[[-1, -1, -1], [1, 2, 0], [1, -1, 0], [-1, -1, 2], [-1, 0, -1], [0, 1, -1], [0, -1, -1], [-1, 0, 2]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 1, 1, 1, 1]"
760,10,24,5,46,314,"[[1, 0], [2, 0], [2, 1], [6, 1], [6, 4], [7, 2], [7, 3], [0, 5], [7, 6], [7, 6], [4, 5], [3, 5], [3, 4]]",226963840/3,"[[-1, -1, -1], [-1, -1, 0], [-1, 0, -1], [1, 2, -1], [1, -1, 2], [1, -1, -1], [0, -1, 2], [0, 2, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 2, 2]"
762,10,32,11,44,326,"[[1, 0], [3, 2], [3, 2], [4, 0], [4, 1], [4, 2], [4, 3], [6, 0], [5, 1], [5, 6], [3, 6], [2, 5]]",72466666666.6667,"[[-1, -1, -1], [-1, -1, 0], [1, 0, 0], [1, 0, -1], [0, -1, -1], [-1, 2, 6], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0]","[1, 1, 2, 2, 2, 1, 1]"
782,10,27,7,45,318,"[[2, 1], [3, 1], [3, 2], [6, 0], [5, 0], [4, 6], [4, 5], [0, 3], [2, 5], [1, 6], [1, 4], [1, 4]]",3684373440,"[[-1, -1, -1], [1, 0, -1], [1, -1, 0], [1, -1, -1], [-1, 2, 1], [-1, -1, 4], [-1, 0, -1]]","[0, 0, 0, 0, 0, 0, 0]","[1, 3, 1, 1, 2, 1, 1]"
786,10,26,6,45,316,"[[2, 1], [3, 1], [6, 5], [4, 0], [4, 6], [5, 0], [0, 3], [2, 4], [2, 6], [1, 5], [1, 5], [2, 3]]",980952832,"[[-1, -1, -1], [1, 0, -1], [1, -1, 1], [1, -1, -1], [-1, -1, 3], [-1, 2, -1], [-1, 1, 1]]","[0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 1, 2, 1]"
798,10,31,9,43,322,"[[1, 0], [3, 2], [4, 0], [4, 2], [6, 3], [6, 0], [5, 1], [5, 6], [1, 2], [3, 4], [2, 5]]",11146666666.6667,"[[-1, -1, -1], [-1, -1, 0], [1, -1, 0], [0, 1, -1], [0, -1, -1], [-1, 3, 4], [-1, 3, -1]]","[0, 0, 1, 0, 0, 0, 0]","[1, 1, 4, 1, 1, 1, 1]"
808,10,29,7,43,318,"[[2, 1], [3, 0], [3, 1], [5, 2], [5, 0], [6, 0], [4, 5], [4, 6], [2, 3], [1, 6], [1, 4]]",15675043002.7848,"[[-1, -1, -1], [1, 0, -1], [0, -1, 2], [0, -1, -1], [-1, 2, 1], [-1, -1, 4], [-1, 2, -1]]","[0, 1, 0, 0, 0, 0, 0]","[1, 4, 1, 1, 1, 1, 1]"
810,10,31,9,43,322,"[[2, 1], [3, 0], [3, 1], [4, 2], [4, 0], [6, 0], [5, 4], [5, 6], [2, 3], [1, 6], [1, 5]]",28653333333333.3,"[[-1, -1, -1], [1, 0, -1], [0, -1, 1], [0, -1, -1], [-1, -1, 3], [-1, 2, 3], [-1, 2, -1]]","[0, 1, 0, 0, 0, 0, 0]","[1, 4, 1, 1, 1, 1, 1]"
812,10,33,11,43,326,"[[2, 1], [3, 2], [4, 0], [4, 1], [4, 2], [3, 0], [6, 0], [5, 3], [5, 6], [1, 6], [1, 5]]",137333333333.333,"[[-1, -1, -1], [1, 0, -1], [0, -1, 0], [-1, -1, 2], [0, -1, -1], [-1, 2, 5], [-1, 2, -1]]","[0, 1, 0, 0, 0, 0, 0]","[1, 4, 1, 1, 1, 1, 1]"
838,10,28,7,44,318,"[[2, 1], [2, 1], [5, 0], [4, 0], [5, 6], [3, 4], [3, 6], [0, 2], [2, 4], [1, 5], [1, 6], [1, 3]]",4460758800.30571,"[[-1, -1, -1], [1, 0, -1], [1, -1, -1], [-1, 2, 3], [-1, -1, 3], [-1, 0, -1], [-1, 2, 1]]","[0, 0, 0, 0, 0, 0, 0]","[1, 3, 2, 1, 1, 1, 1]"
856,10,29,8,44,320,"[[2, 1], [3, 1], [4, 1], [4, 1], [5, 4], [7, 4], [6, 0], [0, 7], [5, 6], [5, 7], [0, 3], [2, 6], [2, 3]]",15675043002.7848,"[[-1, -1, -1], [1, 0, -1], [1, -1, 1], [1, -1, -1], [0, 1, -1], [-1, 1, 1], [-1, -1, 5], [-1, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 1, 2, 1, 1, 1]"
882,10,27,6,44,316,"[[2, 1], [2, 1], [3, 2], [4, 3], [5, 0], [5, 2], [4, 0], [0, 7], [4, 6], [6, 7], [3, 5], [1, 7], [1, 6]]",3180751200,"[[-1, -1, -1], [1, 1, -1], [1, 0, -1], [0, -1, 1], [-1, -1, 3], [0, -1, -1], [-1, 1, 3], [-1, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 1, 1, 1, 1]"
910,10,24,4,45,312,"[[0, 2], [0, 5], [2, 4], [4, 5], [0, 3], [2, 3], [3, 4], [1, 5], [1, 4], [1, 3], [1, 3]]",48103424,"[[-1, -1, -1], [1, 1, -1], [-1, -1, 1], [1, -1, -1], [-1, 1, 3], [-1, 1, -1]]","[0, 0, 0, 0, 0, 0]","[1, 2, 1, 3, 2, 1]"
929,10,23,3,45,310,"[[3, 2], [4, 3], [5, 0], [6, 0], [6, 2], [7, 4], [3, 6], [4, 0], [1, 2], [1, 2], [7, 5], [1, 5], [1, 7]]",18295200,"[[-1, 0, -1], [1, 1, -1], [1, -1, -1], [0, -1, 1], [-1, 0, 3], [-1, 1, -1], [0, -1, -1], [-1, 1, 3]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 1, 1, 1, 1]"
1142,10,24,3,44,310,"[[0, 2], [0, 6], [2, 5], [5, 6], [0, 4], [2, 3], [3, 5], [1, 6], [1, 5], [3, 4], [1, 4], [1, 3]]",134217728/3,"[[-1, -1, -1], [1, 1, -1], [-1, -1, 1], [1, -1, 1], [1, -1, -1], [-1, 1, 1], [-1, 1, -1]]","[0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
1153,10,25,4,44,312,"[[3, 0], [5, 2], [6, 0], [8, 2], [8, 7], [9, 6], [7, 9], [6, 8], [4, 9], [0, 2], [1, 7], [3, 4], [1, 4], [3, 5], [1, 5]]",642318336,"[[-1, 0, -1], [1, 1, 1], [-1, 0, 1], [-1, 1, -1], [1, 1, -1], [-1, 1, 1], [0, -1, -1], [1, -1, 1], [0, -1, 1], [1, -1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1184,10,24,3,44,310,"[[2, 1], [4, 2], [5, 2], [5, 3], [5, 4], [6, 4], [3, 0], [6, 0], [6, 3], [1, 0], [1, 3], [1, 6]]",63108992/3,"[[-1, -1, -1], [2, -1, -1], [1, 0, 0], [-1, -1, 2], [0, 1, 0], [0, 0, 1], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 1, 2]"
1340,10,27,6,44,316,"[[2, 1], [3, 1], [3, 2], [5, 1], [6, 0], [6, 3], [8, 5], [8, 7], [4, 0], [8, 0], [7, 4], [2, 4], [5, 6], [1, 7]]",4496202000,"[[-1, -1, -1], [1, 0, 0], [1, -1, 1], [1, -1, 0], [-1, -1, 3], [0, 1, -1], [0, -1, -1], [-1, 2, 0], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 1, 1, 1, 1, 1, 1]"
1344,10,26,5,44,314,"[[2, 1], [4, 1], [5, 2], [5, 4], [7, 3], [8, 6], [3, 0], [8, 0], [6, 7], [0, 5], [3, 4], [1, 7], [2, 8], [1, 6]]",1540320768,"[[-1, -1, -1], [1, 0, 0], [1, 0, -1], [-1, -1, 2], [1, -1, 0], [1, -1, -1], [-1, 2, 0], [-1, 0, 2], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 1, 1, 1, 1, 1, 1]"
